CHI,EEC,STAT,Q,ERROR
5.4,0.43,0.021,29.0,0.021
9.0,0.58,0.025,29.0,0.025
12.6,0.589,0.019,29.0,0.019
16.2,0.56,0.013,29.0,0.013
19.8,0.493,0.01,29.0,0.01
23.4,0.424,0.01,29.0,0.01
27.0,0.36,0.01,29.0,0.01
30.6,0.306,0.012,29.0,0.012
34.2,0.267,0.008,29.0,0.008
37.8,0.241,0.005,29.0,0.005
41.4,0.217,0.005,29.0,0.005
45.0,0.197,0.006,29.0,0.006
48.6,0.18,0.006,29.0,0.006
52.2,0.167,0.005,29.0,0.005
55.8,0.155,0.004,29.0,0.004
59.4,0.148,0.003,29.0,0.003
63.0,0.139,0.004,29.0,0.004
66.6,0.134,0.003,29.0,0.003
70.2,0.129,0.004,29.0,0.004
73.8,0.127,0.004,29.0,0.004
77.4,0.125,0.003,29.0,0.003
81.0,0.122,0.004,29.0,0.004
84.6,0.122,0.003,29.0,0.003
88.2,0.122,0.003,29.0,0.003
91.8,0.123,0.003,29.0,0.003
95.4,0.125,0.003,29.0,0.003
99.0,0.128,0.003,29.0,0.003
102.6,0.133,0.003,29.0,0.003
106.2,0.136,0.004,29.0,0.004
109.8,0.143,0.003,29.0,0.003
113.4,0.149,0.004,29.0,0.004
117.0,0.158,0.003,29.0,0.003
120.6,0.169,0.004,29.0,0.004
124.2,0.182,0.004,29.0,0.004
127.8,0.197,0.005,29.0,0.005
131.4,0.217,0.006,29.0,0.006
135.0,0.241,0.007,29.0,0.007
138.6,0.269,0.008,29.0,0.008
142.2,0.302,0.011,29.0,0.011
145.8,0.343,0.013,29.0,0.013
149.4,0.392,0.014,29.0,0.014
153.0,0.451,0.016,29.0,0.016
156.6,0.518,0.019,29.0,0.019
160.2,0.595,0.025,29.0,0.025
163.8,0.682,0.024,29.0,0.024
167.4,0.747,0.015,29.0,0.015
171.0,0.743,0.013,29.0,0.013
174.6,0.575,0.013,29.0,0.013
178.2,0.241,0.016,29.0,0.016
