CHI,EEC,STAT,SYS
1.8,2.181,0.0043,0.0409
5.4,1.2809,0.0037,0.0393
9,0.8937,0.0028,0.0271
12.6,0.6141,0.0024,0.0133
16.2,0.4395,0.0012,0.0147
19.8,0.328,0.0011,0.0123
23.4,0.2588,0.0006,0.0101
27,0.2115,0.0009,0.0071
30.6,0.1794,0.0008,0.0045
34.2,0.1557,0.0007,0.0027
37.8,0.1394,0.0009,0.0025
41.4,0.1267,0.0008,0.0025
45,0.1163,0.0006,0.002
48.6,0.1082,0.0005,0.0021
52.2,0.1017,0.0005,0.002
55.8,0.0956,0.0006,0.0018
59.4,0.091,0.0004,0.0018
63,0.0889,0.0007,0.0018
66.6,0.0857,0.0005,0.0016
70.2,0.0823,0.0005,0.0015
73.8,0.081,0.0007,0.0015
77.4,0.0792,0.0007,0.0014
81,0.0789,0.0009,0.0014
84.6,0.0788,0.0007,0.0014
88.2,0.0795,0.0009,0.0015
91.8,0.0808,0.0012,0.0015
95.4,0.0817,0.0007,0.0016
99,0.0824,0.0008,0.0016
102.6,0.0857,0.001,0.0017
106.2,0.0877,0.0008,0.0017
109.8,0.0921,0.0009,0.0017
113.4,0.0971,0.0008,0.0018
117,0.103,0.0011,0.0018
120.6,0.1102,0.0012,0.002
124.2,0.1173,0.0011,0.002
127.8,0.1273,0.0009,0.0021
131.4,0.1411,0.0011,0.0025
135,0.1543,0.0012,0.0024
138.6,0.1729,0.0013,0.0026
142.2,0.1972,0.0014,0.0032
145.8,0.2249,0.0009,0.0036
149.4,0.2682,0.0019,0.0053
153,0.3183,0.003,0.0068
156.6,0.3891,0.002,0.0067
160.2,0.4873,0.0023,0.0096
163.8,0.6312,0.002,0.0103
167.4,0.825,0.0022,0.0095
171,1.0666,0.0055,0.0165
174.6,1.2404,0.0079,0.0284
178.2,0.7286,0.0069,0.0272
