CHI,EEC,STAT,SYS,Q,ERROR,BinSize
5.4,0.708,0.019,0.035,43.5,0.0398246155034797,3.6
9.0,0.723,0.013,0.036,43.5,0.0382753184180092,3.6
12.6,0.571,0.011,0.029,43.5,0.0310161248385416,3.6
16.2,0.513,0.008,0.026,43.5,0.0272029410174708,3.6
19.8,0.408,0.007,0.02,43.5,0.021189620100417,3.6
23.4,0.333,0.006,0.017,43.5,0.0180277563773199,3.6
27.0,0.282,0.005,0.014,43.5,0.0148660687473185,3.6
30.6,0.245,0.004,0.012,43.5,0.0126491106406735,3.6
34.2,0.211,0.004,0.011,43.5,0.0117046999107196,3.6
37.8,0.184,0.004,0.009,43.5,0.0098488578017961,3.6
41.4,0.163,0.003,0.008,43.5,0.0085440037453175,3.6
45.0,0.151,0.004,0.008,43.5,0.0089442719099991,3.6
48.6,0.14,0.003,0.007,43.5,0.0076157731058639,3.6
52.2,0.13,0.003,0.006,43.5,0.0067082039324993,3.6
55.8,0.121,0.003,0.006,43.5,0.0067082039324993,3.6
59.4,0.124,0.003,0.006,43.5,0.0067082039324993,3.6
63.0,0.113,0.003,0.006,43.5,0.0067082039324993,3.6
66.6,0.112,0.003,0.006,43.5,0.0067082039324993,3.6
70.2,0.11,0.004,0.006,43.5,0.0072111025509279,3.6
73.8,0.109,0.003,0.005,43.5,0.0058309518948453,3.6
77.4,0.109,0.004,0.005,43.5,0.0064031242374328,3.6
81.0,0.108,0.004,0.005,43.5,0.0064031242374328,3.6
84.6,0.106,0.004,0.005,43.5,0.0064031242374328,3.6
88.2,0.105,0.003,0.005,43.5,0.0058309518948453,3.6
91.8,0.108,0.003,0.005,43.5,0.0058309518948453,3.6
95.4,0.111,0.004,0.006,43.5,0.0072111025509279,3.6
99.0,0.115,0.004,0.006,43.5,0.0072111025509279,3.6
102.6,0.113,0.004,0.006,43.5,0.0072111025509279,3.6
106.2,0.116,0.004,0.006,43.5,0.0072111025509279,3.6
109.8,0.121,0.004,0.006,43.5,0.0072111025509279,3.6
113.4,0.126,0.004,0.006,43.5,0.0072111025509279,3.6
117.0,0.136,0.004,0.007,43.5,0.0080622577482985,3.6
120.6,0.145,0.004,0.007,43.5,0.0080622577482985,3.6
124.2,0.153,0.004,0.008,43.5,0.0089442719099991,3.6
127.8,0.168,0.005,0.008,43.5,0.0094339811320566,3.6
131.4,0.182,0.005,0.009,43.5,0.010295630140987,3.6
135.0,0.197,0.005,0.01,43.5,0.0111803398874989,3.6
138.6,0.224,0.005,0.011,43.5,0.0120830459735945,3.6
142.2,0.246,0.005,0.012,43.5,0.013,3.6
145.8,0.276,0.006,0.014,43.5,0.0152315462117278,3.6
149.4,0.337,0.006,0.017,43.5,0.0180277563773199,3.6
153.0,0.39,0.007,0.02,43.5,0.021189620100417,3.6
156.6,0.456,0.008,0.023,43.5,0.0243515913237718,3.6
160.2,0.561,0.009,0.028,43.5,0.0294108823397054,3.6
163.8,0.681,0.011,0.034,43.5,0.0357351367704112,3.6
167.4,0.794,0.014,0.04,43.5,0.0423792402008341,3.6
171.0,0.897,0.018,0.045,43.5,0.0484664832642105,3.6
174.6,0.846,0.022,0.042,43.5,0.0474130783645187,3.6
178.2,0.418,0.021,0.021,43.5,0.029698484809835,3.6
