CHI,EEC,STAT,SYS,Q,ERROR,BinSize
5.4,0.993,0.023,0.03972,53.3,0.0458985664264146,3.6
9.0,0.839,0.014,0.03356,53.3,0.0363630801775647,3.6
12.6,0.642,0.015,0.02568,53.3,0.0297399125755271,3.6
16.2,0.474,0.011,0.01896,53.3,0.0219198905106754,3.6
19.8,0.376,0.01,0.01504,53.3,0.0180610520180857,3.6
23.4,0.298,0.007,0.01192,53.3,0.0138234004499616,3.6
27.0,0.25,0.007,0.01,53.3,0.0122065556157337,3.6
30.6,0.204,0.006,0.00816,53.3,0.0101284549660844,3.6
34.2,0.173,0.006,0.00692,53.3,0.0091589519051035,3.6
37.8,0.167,0.005,0.00668,53.3,0.0083440038350902,3.6
41.4,0.138,0.004,0.00552,53.3,0.0068169201256872,3.6
45.0,0.128,0.004,0.00512,53.3,0.006497260961359,3.6
48.6,0.122,0.003,0.00488,53.3,0.0057283854618906,3.6
52.2,0.122,0.004,0.00488,53.3,0.0063098652917475,3.6
55.8,0.101,0.003,0.00404,53.3,0.0050320572333788,3.6
59.4,0.104,0.004,0.00416,53.3,0.0057711004149988,3.6
63.0,0.098,0.004,0.00392,53.3,0.0056005713994198,3.6
66.6,0.106,0.005,0.00424,53.3,0.0065557303178211,3.6
70.2,0.095,0.004,0.0038,53.3,0.0055172456896534,3.6
73.8,0.098,0.004,0.00392,53.3,0.0056005713994198,3.6
77.4,0.099,0.004,0.00396,53.3,0.0056286410438044,3.6
81.0,0.093,0.004,0.00372,53.3,0.0054624536611306,3.6
84.6,0.092,0.004,0.00368,53.3,0.0054352920804681,3.6
88.2,0.092,0.005,0.00368,53.3,0.0062082525721816,3.6
91.8,0.106,0.004,0.00424,53.3,0.0058290307942229,3.6
95.4,0.103,0.004,0.00412,53.3,0.0057423340202395,3.6
99.0,0.104,0.004,0.00416,53.3,0.0057711004149988,3.6
102.6,0.102,0.005,0.00408,53.3,0.0064534022034892,3.6
106.2,0.11,0.004,0.0044,53.3,0.0059464274989274,3.6
109.8,0.119,0.005,0.00476,53.3,0.0069034484136553,3.6
113.4,0.119,0.005,0.00476,53.3,0.0069034484136553,3.6
117.0,0.117,0.005,0.00468,53.3,0.006848532689562,3.6
120.6,0.129,0.006,0.00516,53.3,0.0079136338050228,3.6
124.2,0.133,0.007,0.00532,53.3,0.0087921783421402,3.6
127.8,0.133,0.007,0.00532,53.3,0.0087921783421402,3.6
131.4,0.144,0.006,0.00576,53.3,0.0083173072565584,3.6
135.0,0.167,0.009,0.00668,53.3,0.0112081398991982,3.6
138.6,0.207,0.01,0.00828,53.3,0.0129830042748202,3.6
142.2,0.226,0.01,0.00904,53.3,0.0134804154238658,3.6
145.8,0.251,0.009,0.01004,53.3,0.0134833823649705,3.6
149.4,0.291,0.012,0.01164,53.3,0.0167179424571326,3.6
153.0,0.358,0.013,0.01432,53.3,0.0193406928521188,3.6
156.6,0.453,0.016,0.01812,53.3,0.0241730097422724,3.6
160.2,0.556,0.013,0.02224,53.3,0.0257607763858157,3.6
163.8,0.705,0.015,0.0282,53.3,0.0319411959700947,3.6
167.4,0.825,0.018,0.033,53.3,0.037589892258425,3.6
171.0,1.033,0.028,0.04132,53.3,0.0499133489158962,3.6
174.6,1.119,0.038,0.04476,53.3,0.0587150542876356,3.6
178.2,0.556,0.03,0.02224,53.3,0.0373445792585751,3.6
