CHI,EEC,STAT,SYS,Q,ERROR,BinSize
5.4,0.285,0.014,0.014,22.0,0.0197989898732233,3.6
9.0,0.423,0.015,0.021,22.0,0.0258069758011278,3.6
12.6,0.48,0.015,0.024,22.0,0.0283019433961698,3.6
16.2,0.466,0.013,0.023,22.0,0.0264196896272458,3.6
19.8,0.455,0.013,0.023,22.0,0.0264196896272458,3.6
23.4,0.388,0.011,0.019,22.0,0.0219544984001001,3.6
27.0,0.362,0.01,0.018,22.0,0.020591260281974,3.6
30.6,0.308,0.009,0.015,22.0,0.0174928556845359,3.6
34.2,0.299,0.008,0.015,22.0,0.0169999999999999,3.6
37.8,0.24,0.007,0.012,22.0,0.0138924439894498,3.6
41.4,0.235,0.007,0.012,22.0,0.0138924439894498,3.6
45.0,0.211,0.006,0.011,22.0,0.0125299640861416,3.6
48.6,0.193,0.007,0.01,22.0,0.0122065556157337,3.6
52.2,0.186,0.006,0.009,22.0,0.0108166538263919,3.6
55.8,0.155,0.005,0.008,22.0,0.0094339811320566,3.6
59.4,0.153,0.005,0.008,22.0,0.0094339811320566,3.6
63.0,0.16,0.006,0.008,22.0,0.01,3.6
66.6,0.146,0.006,0.007,22.0,0.0092195444572928,3.6
70.2,0.144,0.006,0.007,22.0,0.0092195444572928,3.6
73.8,0.142,0.006,0.007,22.0,0.0092195444572928,3.6
77.4,0.147,0.006,0.007,22.0,0.0092195444572928,3.6
81.0,0.13,0.006,0.007,22.0,0.0092195444572928,3.6
84.6,0.12,0.005,0.006,22.0,0.0078102496759066,3.6
88.2,0.141,0.006,0.007,22.0,0.0092195444572928,3.6
91.8,0.132,0.005,0.007,22.0,0.0086023252670426,3.6
95.4,0.129,0.005,0.006,22.0,0.0078102496759066,3.6
99.0,0.138,0.005,0.007,22.0,0.0086023252670426,3.6
102.6,0.14,0.006,0.007,22.0,0.0092195444572928,3.6
106.2,0.145,0.006,0.007,22.0,0.0092195444572928,3.6
109.8,0.147,0.006,0.007,22.0,0.0092195444572928,3.6
113.4,0.162,0.006,0.008,22.0,0.01,3.6
117.0,0.185,0.007,0.009,22.0,0.0114017542509913,3.6
120.6,0.17,0.007,0.009,22.0,0.0114017542509913,3.6
124.2,0.222,0.008,0.011,22.0,0.0136014705087354,3.6
127.8,0.219,0.007,0.011,22.0,0.0130384048104052,3.6
131.4,0.245,0.008,0.012,22.0,0.0144222051018559,3.6
135.0,0.25,0.008,0.012,22.0,0.0144222051018559,3.6
138.6,0.273,0.009,0.014,22.0,0.0166433169770932,3.6
142.2,0.292,0.009,0.015,22.0,0.0174928556845359,3.6
145.8,0.402,0.011,0.02,22.0,0.0228254244210266,3.6
149.4,0.384,0.01,0.019,22.0,0.0214709105535838,3.6
153.0,0.456,0.013,0.023,22.0,0.0264196896272458,3.6
156.6,0.514,0.013,0.026,22.0,0.0290688837074972,3.6
160.2,0.592,0.016,0.03,22.0,0.0339999999999999,3.6
163.8,0.639,0.018,0.032,22.0,0.0367151195013716,3.6
167.4,0.705,0.021,0.035,22.0,0.0408166632639171,3.6
171.0,0.71,0.024,0.035,22.0,0.0424381903478458,3.6
174.6,0.555,0.026,0.028,22.0,0.0382099463490856,3.6
178.2,0.265,0.022,0.013,22.0,0.0255538646783612,3.6
