αs,params,chi2/dof,ratios,ratios_list
0.11646914888662958,[-0.10320226  0.56604451],1.1619698451290708,,"{'μS_ratio': 1.0266348301377217, 'μJ_ratio': 1.0136663950134124, 'νS_ratio': 1.211504601902387, 'νJ_ratio': 0.6080211152434543, 'μH_ratio': 0.9872545046304764, 'bmax_ratio': 1.2681151233322954}"
0.11649656753999846,[-0.10425097  0.55043619],1.1876870297210391,,"{'μS_ratio': 0.635731031357645, 'μJ_ratio': 0.605317190608899, 'νS_ratio': 1.0796174698794747, 'νJ_ratio': 1.7787275577324255, 'μH_ratio': 0.5669367917216535, 'bmax_ratio': 1.4248246523537829}"
0.11638431019046365,[-0.04694224  0.57410369],1.1620602835782583,,"{'μS_ratio': 1.1891739503017207, 'μJ_ratio': 1.3380848169858732, 'νS_ratio': 1.2822267996773045, 'νJ_ratio': 1.0353268592154268, 'μH_ratio': 1.3206414585700665, 'bmax_ratio': 0.7525248178107179}"
0.11691729979644673,[-0.09203625  0.54036044],1.1688296527111046,,"{'μS_ratio': 0.9921303678622042, 'μJ_ratio': 0.6037449153874721, 'νS_ratio': 0.7336307107817961, 'νJ_ratio': 1.0065687493051059, 'μH_ratio': 0.7458464636453981, 'bmax_ratio': 0.6885175741541425}"
0.11580695548696102,[-0.10216508  0.57531086],1.13878914474121,,"{'μS_ratio': 0.6336641185654256, 'μJ_ratio': 1.0552483828776913, 'νS_ratio': 0.5266321428496185, 'νJ_ratio': 0.9607045560284563, 'μH_ratio': 1.174557893900907, 'bmax_ratio': 1.1046186530620563}"
0.11648720248858589,[-0.10315575  0.56702266],1.1639391884149783,,"{'μS_ratio': 1.1505587996068765, 'μJ_ratio': 1.0096840702885668, 'νS_ratio': 0.8315489165314622, 'νJ_ratio': 0.8661954906975108, 'μH_ratio': 0.5380536722431907, 'bmax_ratio': 1.2180527790586977}"
0.11681872831888354,[-0.06267824  0.53965597],1.1795573031372857,,"{'μS_ratio': 1.1327761133855763, 'μJ_ratio': 0.6605791860788645, 'νS_ratio': 1.9165427135171846, 'νJ_ratio': 1.6014843406491306, 'μH_ratio': 1.2370484994045217, 'bmax_ratio': 0.6884212398394486}"
0.11643329025812614,[-0.05669747  0.55815274],1.1634892233091843,,"{'μS_ratio': 1.128240790254984, 'μJ_ratio': 0.8267316326949906, 'νS_ratio': 0.7015215048104994, 'νJ_ratio': 1.0205307069871488, 'μH_ratio': 0.8597644922353802, 'bmax_ratio': 0.7093727660551814}"
0.11726696356888144,[-0.10666468  0.53374459],1.1999351105610288,,"{'μS_ratio': 0.7868440791691029, 'μJ_ratio': 0.5380254536719247, 'νS_ratio': 1.449180171780736, 'νJ_ratio': 1.6278834560206539, 'μH_ratio': 0.541441753920659, 'bmax_ratio': 1.046465881250377}"
0.1163689947371865,[-0.10286825  0.56576699],1.1559123529841806,,"{'μS_ratio': 1.0173206447309235, 'μJ_ratio': 0.8540059967029989, 'νS_ratio': 0.5589342738419737, 'νJ_ratio': 0.6433164067422883, 'μH_ratio': 1.2349681545567628, 'bmax_ratio': 0.7221246222906448}"
0.11696029252978743,[-0.10315254  0.56014749],1.1818296243788506,,"{'μS_ratio': 1.7609818314368608, 'μJ_ratio': 1.1523563368517207, 'νS_ratio': 1.0421396025636573, 'νJ_ratio': 0.6381473807901092, 'μH_ratio': 0.6009298893937841, 'bmax_ratio': 1.1920852090887428}"
0.11640198715419958,[-0.10437165  0.55162106],1.154901811129039,,"{'μS_ratio': 0.6419026366305322, 'μJ_ratio': 0.7392499672203617, 'νS_ratio': 1.1809218541335231, 'νJ_ratio': 1.8148335914615557, 'μH_ratio': 0.5332437519687763, 'bmax_ratio': 1.4127873668514486}"
0.11562985640252274,[-0.10258569  0.57127789],1.1372559517501915,,"{'μS_ratio': 0.506809286560583, 'μJ_ratio': 0.7541478997302085, 'νS_ratio': 0.6076862120169316, 'νJ_ratio': 0.7456131603010373, 'μH_ratio': 1.353193551909717, 'bmax_ratio': 0.7577109958001977}"
0.1170222773664808,[-0.10542375  0.54089587],1.1849243477714593,,"{'μS_ratio': 1.0096630326284028, 'μJ_ratio': 0.597213214473829, 'νS_ratio': 0.7931019031720629, 'νJ_ratio': 0.9076181918372154, 'μH_ratio': 0.8384464164432441, 'bmax_ratio': 1.2307307513706767}"
0.11646793454092935,[-0.10312937  0.56685338],1.1607032807617086,,"{'μS_ratio': 1.0318494855874172, 'μJ_ratio': 1.110587665711253, 'νS_ratio': 0.7374960434402272, 'νJ_ratio': 0.9165832278775868, 'μH_ratio': 0.9976383049945343, 'bmax_ratio': 1.314548655790031}"
0.11599110005099372,[-0.10170263  0.57687971],1.1453072262098285,,"{'μS_ratio': 0.7814988127660005, 'μJ_ratio': 1.118306891886656, 'νS_ratio': 0.5888945243570222, 'νJ_ratio': 0.6753984497782562, 'μH_ratio': 0.9314851815304098, 'bmax_ratio': 0.9390717233336284}"
0.11657146120935884,[-0.10531656  0.54327806],1.1521998792914572,,"{'μS_ratio': 0.5727020344663786, 'μJ_ratio': 0.5631197467033745, 'νS_ratio': 0.7273813646472397, 'νJ_ratio': 1.286376149952079, 'μH_ratio': 0.5931109238107152, 'bmax_ratio': 0.8480651048264972}"
0.116450175789435,[-0.10248316  0.57742804],1.1611237647063217,,"{'μS_ratio': 1.0129058811228244, 'μJ_ratio': 1.5283237259152718, 'νS_ratio': 0.6318188014203222, 'νJ_ratio': 0.7417096510496987, 'μH_ratio': 1.7236658307020982, 'bmax_ratio': 1.0974340859677882}"
