αs,params,chi2/dof,ratios_list
0.12017,[ 3.04418 -0.81288 -0.29452],1.9490915083945155,"{'μS_ratio': 1.7912315579863427, 'μJ_ratio': 1.211550052865267, 'νS_ratio': 1.29047711450181, 'νJ_ratio': 0.8215415799617056, 'μH_ratio': 1.0758153324947934, 'bmax_ratio': 1.4138526388545656}"
0.11394,[ 3.07045 -0.73794 -0.25299],1.9707572705652303,"{'μS_ratio': 0.7016381491092102, 'μJ_ratio': 0.6657511147449764, 'νS_ratio': 1.000879684069161, 'νJ_ratio': 0.969197245431707, 'μH_ratio': 0.9352829797144874, 'bmax_ratio': 1.065159179834886}"
0.1143,[ 3.08144 -0.91022 -0.41508],1.9494624190781344,"{'μS_ratio': 1.1124722421675912, 'μJ_ratio': 1.3086083878421118, 'νS_ratio': 1.762962591486139, 'νJ_ratio': 1.4338137114702978, 'μH_ratio': 1.0059851931326507, 'bmax_ratio': 0.9640485333736208}"
0.11273,[ 3.06339 -0.85349 -0.46358],1.9532581646952847,"{'μS_ratio': 0.748944248466873, 'μJ_ratio': 1.2696812724731554, 'νS_ratio': 1.0528347730039762, 'νJ_ratio': 1.9854135790323628, 'μH_ratio': 1.3533567799737403, 'bmax_ratio': 1.3324639696325327}"
0.11518,[ 3.08663 -0.85286 -0.28051],1.9677334122562762,"{'μS_ratio': 1.2004790999146853, 'μJ_ratio': 0.748216757565714, 'νS_ratio': 0.6567419471928266, 'νJ_ratio': 0.7274875096417605, 'μH_ratio': 1.1978574778483497, 'bmax_ratio': 0.7875536364272183}"
0.11393,[ 3.06207 -0.69397 -0.21472],1.9933162590527822,"{'μS_ratio': 0.7515384906045159, 'μJ_ratio': 0.5062730603799421, 'νS_ratio': 0.8308771358072041, 'νJ_ratio': 0.5996483870201361, 'μH_ratio': 0.9871508430680259, 'bmax_ratio': 0.905342512357093}"
0.11323,[ 3.08932 -0.91862 -0.37106],1.9489638781014649,"{'μS_ratio': 0.9447013314915511, 'μJ_ratio': 1.0407368473665461, 'νS_ratio': 1.267534781763426, 'νJ_ratio': 1.1427670236285206, 'μH_ratio': 1.9549887937992783, 'bmax_ratio': 1.3895340912442573}"
0.11393,[ 3.07888 -0.87874 -0.3867 ],1.9258416773243707,"{'μS_ratio': 1.089462241537309, 'μJ_ratio': 1.079003685184668, 'νS_ratio': 1.203410353054387, 'νJ_ratio': 0.7300467094716316, 'μH_ratio': 0.5771149967351707, 'bmax_ratio': 1.2332408162116053}"
0.11781,[ 3.0851  -0.89026 -0.39031],1.9315567553005284,"{'μS_ratio': 1.665463307637084, 'μJ_ratio': 1.393139950735097, 'νS_ratio': 1.7477697726702124, 'νJ_ratio': 1.8464101251404164, 'μH_ratio': 1.8356342630363276, 'bmax_ratio': 1.147036465275573}"
0.11524,[ 3.0825  -0.89552 -0.39689],1.9182726875020055,"{'μS_ratio': 1.3287680972194449, 'μJ_ratio': 1.1438999184613898, 'νS_ratio': 1.8944455036615442, 'νJ_ratio': 1.6374564640061315, 'μH_ratio': 0.594482253204009, 'bmax_ratio': 1.218766530570585}"
