αs,params,chi2/dof,ratios_list
0.11856,[ 3.6839  -0.55121 -0.19628],1.6014115843293228,"{'μS_ratio': 0.930526607092397, 'μJ_ratio': 1.0878894564600727, 'νS_ratio': 0.5159329106624592, 'νJ_ratio': 0.5613970086374988, 'μH_ratio': 0.9579673610866754, 'bmax_ratio': 0.7438878510963668}"
0.11722,[ 3.96544 -1.0339  -0.05221],1.5027554016398312,"{'μS_ratio': 1.7671782117301669, 'μJ_ratio': 1.3180846694896657, 'νS_ratio': 1.2195458292870063, 'νJ_ratio': 1.603079564723236, 'μH_ratio': 1.7129600735631034, 'bmax_ratio': 0.8454582591114704}"
0.11801,[ 3.65794 -0.48782 -0.25568],1.6254463662075704,"{'μS_ratio': 0.8669622063043599, 'μJ_ratio': 0.7873605818268569, 'νS_ratio': 1.3581433919934196, 'νJ_ratio': 0.9135707201050934, 'μH_ratio': 0.6909989309240123, 'bmax_ratio': 1.307488583432658}"
0.11778,[ 3.76342 -0.82688 -0.11174],1.5147011116350768,"{'μS_ratio': 1.3058495800824246, 'μJ_ratio': 0.7663875331309457, 'νS_ratio': 1.3193537977319723, 'νJ_ratio': 1.8031381547299965, 'μH_ratio': 0.5240981356443415, 'bmax_ratio': 0.7441943719224059}"
0.11638,[ 3.50567 -0.25411 -0.41619],1.8990825391922213,"{'μS_ratio': 0.5443936076271868, 'μJ_ratio': 0.6695324005646434, 'νS_ratio': 0.9717741963681248, 'νJ_ratio': 0.5346129883039804, 'μH_ratio': 0.5932003373825507, 'bmax_ratio': 1.1508137605408557}"
0.11768,[ 3.8367  -0.91419 -0.0947 ],1.5073981982571467,"{'μS_ratio': 1.559646585052296, 'μJ_ratio': 1.693481576102264, 'νS_ratio': 1.2718798508569904, 'νJ_ratio': 1.0195027529143574, 'μH_ratio': 0.9451330520925617, 'bmax_ratio': 0.7064520029844156}"
0.11772,[ 3.8269  -0.89933 -0.1042 ],1.535555650163724,"{'μS_ratio': 1.2817903862556554, 'μJ_ratio': 1.7057190455902, 'νS_ratio': 1.6556320567447542, 'νJ_ratio': 1.961637572163794, 'μH_ratio': 0.8785113344722657, 'bmax_ratio': 0.7916371094217403}"
0.11825,[ 3.70011 -0.62026 -0.19748],1.5933895522446317,"{'μS_ratio': 0.9783729846467178, 'μJ_ratio': 1.4257053114912888, 'νS_ratio': 1.521847812677711, 'νJ_ratio': 1.1374819917845338, 'μH_ratio': 1.6988400119763392, 'bmax_ratio': 0.7190234401515138}"
0.11998,[ 3.68617 -0.55093 -0.17286],1.605524315179639,"{'μS_ratio': 1.0631480997905915, 'μJ_ratio': 1.5065210416356094, 'νS_ratio': 0.5663519218949375, 'νJ_ratio': 0.8041332090337915, 'μH_ratio': 1.2679180993996066, 'bmax_ratio': 1.340664259628542}"
0.11975,[ 3.68874 -0.56138 -0.17881],1.5849496498180018,"{'μS_ratio': 1.1820948788942567, 'μJ_ratio': 1.1360440985748752, 'νS_ratio': 0.7118475447557643, 'νJ_ratio': 0.6404958266737624, 'μH_ratio': 1.9003644150725876, 'bmax_ratio': 0.8027953894378448}"
0.11747,[ 3.89864 -0.97426 -0.06957],1.5184675178565883,"{'μS_ratio': 1.5018488320867345, 'μJ_ratio': 1.3717394718394524, 'νS_ratio': 1.3546587326001536, 'νJ_ratio': 1.8284829864147998, 'μH_ratio': 1.9185447863186524, 'bmax_ratio': 0.6717877042309938}"
0.11873,[ 3.05608  0.24174 -0.47405],1.8872937589032202,"{'μS_ratio': 0.5303082651405076, 'μJ_ratio': 0.6688797933103873, 'νS_ratio': 0.9752399505988364, 'νJ_ratio': 1.3855648063988788, 'μH_ratio': 0.7591319009020515, 'bmax_ratio': 1.3993441498125323}"
0.11967,[ 3.69436 -0.58341 -0.17231],1.5900458101102106,"{'μS_ratio': 1.045446587074549, 'μJ_ratio': 1.9528038777185674, 'νS_ratio': 0.564323261139877, 'νJ_ratio': 0.6292983670566157, 'μH_ratio': 1.4412456522501607, 'bmax_ratio': 0.782436503072719}"
0.11995,[ 3.69184 -0.57184 -0.16828],1.5963446392855896,"{'μS_ratio': 1.0658392475354788, 'μJ_ratio': 1.7451884950832712, 'νS_ratio': 1.0643138603102413, 'νJ_ratio': 1.1751148064224994, 'μH_ratio': 1.9679457640443319, 'bmax_ratio': 1.3441149480803978}"
0.11851,[ 3.22232  0.11316 -0.43614],1.8672771426799069,"{'μS_ratio': 0.5609852522046278, 'μJ_ratio': 0.8756481551549161, 'νS_ratio': 0.5256686324196155, 'νJ_ratio': 0.747722378305546, 'μH_ratio': 0.5813481382478174, 'bmax_ratio': 0.6748488659334161}"
0.11829,[ 3.70026 -0.61673 -0.18885],1.5549316122667896,"{'μS_ratio': 1.0437309066343061, 'μJ_ratio': 0.7050935774959047, 'νS_ratio': 0.9506245565414426, 'νJ_ratio': 1.0475552499983372, 'μH_ratio': 1.3426326767369567, 'bmax_ratio': 1.020646140478132}"
0.11854,[ 3.08863  0.21829 -0.46199],1.9204406877161315,"{'μS_ratio': 0.5327266225167001, 'μJ_ratio': 0.9312394847550809, 'νS_ratio': 0.6954589661720555, 'νJ_ratio': 1.1155290649408955, 'μH_ratio': 0.6187992582442291, 'bmax_ratio': 1.3785627292856892}"
0.11811,[ 3.72938 -0.71365 -0.14601],1.5544842578538034,"{'μS_ratio': 1.0882069272962078, 'μJ_ratio': 0.9222312541530795, 'νS_ratio': 0.8528682820962651, 'νJ_ratio': 1.3182896099821795, 'μH_ratio': 0.9569077599167817, 'bmax_ratio': 1.3456044599583508}"
0.11895,[ 3.69688 -0.59731 -0.1807 ],1.57410421904959,"{'μS_ratio': 1.0428231367271819, 'μJ_ratio': 1.355903286039889, 'νS_ratio': 0.5319219272888527, 'νJ_ratio': 0.5070671267784458, 'μH_ratio': 1.0639027783153685, 'bmax_ratio': 1.0137554759078253}"
