αs,params,chi2/dof
0.118,[0.87598 2.70083 1.10837 1.15234],3.1181035110389583
0.118,[0.87823 2.65138 1.09487 1.11279],3.1210226179794986
0.118,[0.87082 2.70681 1.10175 1.13479],2.737881366734209
0.118,[0.87819 2.6936  1.11562 1.16674],3.798848268997307
0.118,[0.87567 2.69163 1.11623 1.17764],2.834770801979227
0.118,[0.87785 2.68319 1.10625 1.14013],3.2067772870195443
0.118,[0.8753  2.67377 1.09408 1.11326],2.7878922853698986
0.118,[0.8746  2.6774  1.11163 1.17074],3.543565607641331
0.118,[0.87466 2.71511 1.10629 1.12039],3.025022084866576
0.118,[0.87225 2.69124 1.11265 1.19665],3.236217167029059
0.118,[0.87388 2.6845  1.1022  1.13724],3.1982166293002923
0.118,[0.88468 2.68024 1.09746 1.07431],3.0259369617083083
0.118,[0.87416 2.74842 1.116   1.15206],2.8028857097709317
0.118,[0.87406 2.72639 1.10626 1.13073],3.3815182653982365
0.118,[0.87851 2.65341 1.09359 1.11497],2.8471421667980183
0.118,[0.87274 2.72148 1.10514 1.14084],2.6009301234138666
0.118,[0.87976 2.71868 1.1139  1.11262],3.1117534529401993
0.118,[0.87635 2.66909 1.10223 1.15049],3.7213194241626977
0.118,[0.87317 2.7358  1.11062 1.16357],3.1706253175584274
0.118,[0.87793 2.74323 1.10409 1.09539],3.0806341710629637
0.118,[0.87406 2.74636 1.09919 1.09516],3.2329957428613394
0.118,[0.87246 2.75263 1.10329 1.10384],2.8505783143721164
0.118,[0.87487 2.72136 1.11438 1.16042],3.1083038720054943
0.118,[0.87595 2.65923 1.10325 1.14248],3.3620578149846767
0.118,[0.87745 2.71534 1.10671 1.11225],2.8989044201660255
0.118,[0.87758 2.64678 1.09901 1.13244],2.852188145987149
0.118,[0.87816 2.67663 1.09639 1.09317],3.3035665891609867
0.118,[0.87836 2.7173  1.10968 1.12746],2.788467684270009
0.118,[0.87636 2.72476 1.11689 1.12235],2.9614130168979
0.118,[0.86967 2.72647 1.11035 1.18795],3.4235973581042862
0.118,[0.8776  2.69651 1.11485 1.14476],2.9572917721720042
0.118,[0.87316 2.73166 1.10619 1.15982],2.7701582771736
0.118,[0.87808 2.67254 1.09678 1.10478],3.181185658083996
0.118,[0.88083 2.66728 1.10944 1.13149],2.9714589900979034
0.118,[0.87341 2.74364 1.10472 1.13867],3.0079925351589334
0.118,[0.87556 2.72965 1.11063 1.13641],3.1585766912004547
0.118,[0.87628 2.71633 1.10868 1.12135],2.9881115445561206
0.118,[0.87283 2.73065 1.11286 1.1538 ],2.925178589065634
0.118,[0.87166 2.71936 1.11218 1.1779 ],2.9710240366336804
0.118,[0.87328 2.69301 1.10268 1.16668],2.5095577768403383
0.118,[0.87744 2.67797 1.11044 1.13182],3.0742928367931155
0.118,[0.87303 2.65221 1.09881 1.16835],3.0650229837251683
0.118,[0.87573 2.71501 1.1028  1.1285 ],2.961026667909284
0.118,[0.87099 2.74176 1.11153 1.15587],2.8113750036301517
0.118,[0.8775  2.69129 1.10401 1.10679],2.6784476110133295
0.118,[0.87821 2.69371 1.09405 1.11113],2.9560639783740763
0.118,[0.87625 2.7211  1.11286 1.12914],3.1802068387610123
0.118,[0.87465 2.76    1.10917 1.14036],3.1202037397923883
0.118,[0.87657 2.69926 1.1101  1.15863],3.3124702085894033
0.118,[0.87143 2.75288 1.10732 1.14923],2.6216678571729064
