αs,params,chi2/dof
0.118,[0.88316 2.68625 1.08546],3.0616432688254984
0.118,[0.88662 2.66947 1.09454],3.1419644467996264
0.118,[0.88508 2.7039  1.09529],3.084514578545585
0.118,[0.88524 2.7197  1.08975],3.441211996888802
0.118,[0.88818 2.6179  1.08012],3.247400375117627
0.118,[0.88733 2.65993 1.08554],3.148360593604973
0.118,[0.88203 2.69598 1.08041],3.3434364757925015
0.118,[0.88587 2.68882 1.09279],3.2096559552680137
0.118,[0.88805 2.67203 1.09233],3.2609282215259703
0.118,[0.88847 2.67199 1.08385],2.9230410815194796
0.118,[0.88946 2.65718 1.09048],3.1566996827724765
0.118,[0.88674 2.63196 1.08241],3.1849770958807904
0.118,[0.88443 2.67775 1.0953 ],3.535521151632243
0.118,[0.89128 2.62687 1.08339],3.1729182621113643
0.118,[0.88196 2.69368 1.0879 ],3.1697528973891433
0.118,[0.8859  2.66995 1.09068],3.3412133962739787
0.118,[0.88884 2.63799 1.07804],3.062425310073398
0.118,[0.88972 2.65163 1.08912],3.42290677134784
0.118,[0.88878 2.67074 1.08804],3.270267500828219
0.118,[0.88636 2.71162 1.08869],3.22176266639085
0.118,[0.8837  2.67714 1.08135],3.6134981282083074
0.118,[0.88569 2.68593 1.09766],3.6875242299466544
0.118,[0.88194 2.69586 1.08491],3.250786298151257
0.118,[0.8879  2.63375 1.08415],3.620972987928318
0.118,[0.8853  2.65687 1.08591],3.458568777054016
0.118,[0.88789 2.67123 1.08642],3.1055443701525483
0.118,[0.89015 2.67162 1.08756],3.2736678614129167
0.118,[0.8878  2.63302 1.07695],3.1778749738399092
0.118,[0.88536 2.67139 1.08273],3.0140664202855856
0.118,[0.88512 2.68901 1.08356],3.007065103397919
0.118,[0.88249 2.66997 1.08788],3.0515676514000005
0.118,[0.88727 2.64945 1.08693],3.1977656221635886
0.118,[0.88595 2.71599 1.09135],3.3404386817602996
0.118,[0.8865  2.68662 1.08383],3.0382699704400573
0.118,[0.88595 2.65805 1.08529],2.937544965762149
0.118,[0.88692 2.67108 1.08552],3.3485544058852064
0.118,[0.88361 2.70131 1.08676],3.3510932731913727
0.118,[0.88596 2.68391 1.08769],3.210893779137485
0.118,[0.89012 2.60613 1.08094],3.409649514717092
0.118,[0.88591 2.65585 1.08206],2.5717171179548
0.118,[0.88638 2.61109 1.07831],2.979676796983265
0.118,[0.88496 2.67018 1.08758],3.0802501719218576
0.118,[0.88691 2.64537 1.08438],3.322827223188502
0.118,[0.89071 2.61393 1.08201],2.8505576959127055
0.118,[0.88757 2.65147 1.08471],2.743884738238636
0.118,[0.88696 2.68808 1.089  ],3.662282586065953
0.118,[0.89078 2.59811 1.07562],3.0258615151278407
0.118,[0.88752 2.66631 1.09021],3.3763832197635475
0.118,[0.8858  2.66715 1.09301],3.3445590196615687
0.118,[0.88231 2.70365 1.08606],3.029336640123932
0.118,[0.8889  2.63628 1.0869 ],3.456638245538603
0.118,[0.88483 2.70773 1.08961],2.962799744338869
0.118,[0.89061 2.68504 1.09513],3.8208183168154135
0.118,[0.88346 2.68709 1.09218],3.3805589146168504
0.118,[0.88571 2.64123 1.08213],2.858261217403072
0.118,[0.88779 2.67161 1.08418],3.1899504382555603
0.118,[0.88913 2.72666 1.09632],3.2748222371611964
0.118,[0.88417 2.69474 1.0881 ],3.190053786871891
0.118,[0.88578 2.61651 1.0748 ],3.6761462727206706
0.118,[0.89084 2.67138 1.08911],2.891209758948941
0.118,[0.88229 2.71805 1.08988],3.249336246844949
0.118,[0.8871  2.65251 1.07899],2.727265385608716
0.118,[0.8883  2.60813 1.07341],3.076625478136823
0.118,[0.88632 2.66994 1.0917 ],3.226549043734734
0.118,[0.88918 2.61934 1.08509],3.413395796433272
0.118,[0.88636 2.6702  1.08876],3.5763831929176426
0.118,[0.88738 2.6823  1.09037],3.10031792014713
0.118,[0.88387 2.68981 1.08867],3.203613028804709
0.118,[0.88916 2.70485 1.09809],2.699225165365832
0.118,[0.88499 2.64967 1.08711],3.0827926584544554
0.118,[0.88626 2.67714 1.09733],3.364584487993062
0.118,[0.88891 2.6971  1.09475],3.0115935991828335
0.118,[0.88614 2.68566 1.09094],3.098851126962094
0.118,[0.8912  2.64381 1.08478],3.1377292571131288
0.118,[0.88936 2.6633  1.08947],3.521766570032378
0.118,[0.88697 2.70236 1.0916 ],3.349693640268637
0.118,[0.88613 2.67498 1.09869],3.2134986030344592
0.118,[0.88145 2.70951 1.08258],3.0161516044218786
0.118,[0.88643 2.70229 1.09153],3.3907998805512323
0.118,[0.88584 2.65608 1.08091],3.048104966048846
0.118,[0.88516 2.64481 1.07982],3.358289609749484
0.118,[0.88409 2.6563  1.08502],2.8037109269888885
0.118,[0.88966 2.64358 1.08389],3.0871494117712035
0.118,[0.88729 2.6698  1.09247],3.1999078890278594
0.118,[0.88292 2.71148 1.09061],3.355654074843048
0.118,[0.88985 2.66548 1.09333],3.2853674052562813
0.118,[0.88746 2.71144 1.09415],3.2285136852001433
0.118,[0.88524 2.70172 1.08948],3.4617779448381842
0.118,[0.88497 2.70684 1.08995],2.7106005762320113
0.118,[0.88554 2.67082 1.08492],3.126550087185013
0.118,[0.88572 2.66328 1.08681],3.320455064582446
0.118,[0.88445 2.68619 1.08685],3.3948214039104356
0.118,[0.88872 2.65043 1.07895],3.481594236398302
0.118,[0.88479 2.68175 1.08319],3.0004316687729053
0.118,[0.88445 2.6629  1.08721],3.0407111442512935
0.118,[0.88598 2.67225 1.08021],2.665698223478437
0.118,[0.88904 2.6063  1.08343],3.430952397252199
0.118,[0.88342 2.6361  1.08257],3.1260964686298838
0.118,[0.88087 2.71949 1.09055],2.8482298033693594
0.118,[0.88749 2.66795 1.08589],3.382646619236738
0.118,[0.88345 2.70751 1.09051],3.0401688753555547
0.118,[0.88714 2.671   1.08572],3.037541379029988
0.118,[0.88213 2.73304 1.09316],3.3095318644410785
0.118,[0.88474 2.71424 1.09172],3.219261665750609
0.118,[0.89182 2.65927 1.0977 ],3.040500752766697
0.118,[0.88647 2.63324 1.08365],3.0048612114049265
0.118,[0.88447 2.71644 1.09144],3.2617750251424775
0.118,[0.88571 2.65528 1.08083],3.694204045433016
0.118,[0.88859 2.66973 1.09277],3.3259188577264576
0.118,[0.88553 2.67083 1.08771],3.129854563069469
0.118,[0.88449 2.70125 1.0882 ],2.9846150072023017
0.118,[0.88297 2.6935  1.08698],3.1845053033264525
0.118,[0.88484 2.68052 1.08769],2.942310302612208
0.118,[0.88629 2.62792 1.07524],3.6278065652515634
0.118,[0.88563 2.64022 1.08176],2.7280465049948055
0.118,[0.88713 2.67012 1.08974],3.7185775331326236
0.118,[0.88676 2.70094 1.09268],2.8706123941280524
0.118,[0.88384 2.67765 1.08637],2.7622516686188625
0.118,[0.88664 2.67891 1.08487],2.926582592497225
0.118,[0.88685 2.69514 1.09343],3.5799066037659713
0.118,[0.88819 2.64138 1.08769],2.919348900612543
0.118,[0.89253 2.63678 1.09333],2.7973880540669507
0.118,[0.88436 2.61576 1.07251],3.0855747495974124
0.118,[0.88213 2.63807 1.07907],3.069006414588456
0.118,[0.88741 2.63097 1.08156],3.6923068552044227
0.118,[0.88789 2.66795 1.0883 ],3.1967792145941596
0.118,[0.88602 2.64007 1.07942],2.984797093032412
0.118,[0.88841 2.67018 1.08784],3.254014808746777
0.118,[0.88284 2.67492 1.0813 ],3.3037916246768515
0.118,[0.88718 2.66318 1.08297],2.6852056180168757
0.118,[0.88216 2.715   1.09072],3.466326752589563
0.118,[0.88779 2.68244 1.09169],3.0839839419089046
0.118,[0.88664 2.67388 1.09197],2.7066873328244365
0.118,[0.88606 2.64588 1.07961],2.8542506888423067
0.118,[0.88867 2.70219 1.10166],3.2709674072769426
0.118,[0.88253 2.741   1.1032 ],3.4059152520381466
0.118,[0.88646 2.6923  1.08412],3.049817410653359
0.118,[0.88977 2.671   1.09024],3.0611374592782363
0.118,[0.88894 2.6636  1.08915],3.4040981730845927
0.118,[0.88379 2.65204 1.08286],3.3549084172231183
0.118,[0.88263 2.70654 1.09011],3.1034497003901884
0.118,[0.88918 2.64356 1.08106],3.5588857493233252
0.118,[0.89423 2.6713  1.09891],3.227910070320473
0.118,[0.88346 2.71364 1.08921],3.4596707772862416
0.118,[0.88829 2.63416 1.08222],2.8603814447301117
0.118,[0.88678 2.65463 1.08415],3.1976714442653913
0.118,[0.88675 2.67016 1.08847],3.1880792279280215
0.118,[0.88408 2.65757 1.08297],3.416466884211525
0.118,[0.88726 2.67664 1.09273],3.5508071433664488
0.118,[0.88622 2.69941 1.09472],3.4771403381823855
0.118,[0.88476 2.68132 1.08323],3.05927495790985
0.118,[0.88421 2.67926 1.08115],2.452388631347031
0.118,[0.88837 2.66989 1.09045],3.1051749657012486
0.118,[0.88812 2.60861 1.08094],2.880992597561151
0.118,[0.88445 2.66738 1.08845],3.19704004506206
0.118,[0.88519 2.73014 1.10005],3.3897650246193374
0.118,[0.88505 2.71207 1.09679],2.6159302524979697
0.118,[0.8887  2.62449 1.08065],3.3407297987735123
0.118,[0.88208 2.69112 1.08629],3.273496359923556
0.118,[0.88286 2.6656  1.08171],3.293242389096435
0.118,[0.88771 2.60938 1.07804],2.80489740061275
0.118,[0.88907 2.63919 1.08555],2.699236261135452
0.118,[0.88905 2.6533  1.08044],2.9386850771908772
0.118,[0.88987 2.64139 1.08072],3.3500562826679245
