αs,params,chi2/dof
0.118,[0.88911 2.74328 1.09057 1.11886],2.0567162964655523
0.118,[0.87062 2.80363 1.11412 1.16097],2.1450899219656967
0.118,[0.87443 2.82274 1.10647 1.1546 ],2.1168932694589153
0.118,[0.88216 2.73454 1.0937  1.12324],2.070720662238673
0.118,[0.89173 2.63045 1.09319 1.10701],2.0246815767216644
0.118,[0.86372 2.78789 1.10955 1.15715],2.172036828524989
0.118,[0.89282 2.7761  1.10234 1.13416],2.0461098613907898
0.118,[0.86672 2.55274 1.11427 1.12987],2.171742991536207
0.118,[0.88632 2.76635 1.0893  1.12172],2.069580633487883
0.118,[0.89261 2.46605 1.0933  1.09459],1.9954931988583537
0.118,[0.88189 2.5683  1.10571 1.11692],2.057979306605118
0.118,[0.88792 2.68166 1.1045  1.1249 ],2.043265088119062
0.118,[0.87152 2.62126 1.1192  1.1384 ],2.1474451751932637
0.118,[0.87329 2.78952 1.09706 1.139  ],2.1107029661877927
0.118,[0.901   2.52252 1.09858 1.09751],1.9865453469001093
0.118,[0.89616 2.76835 1.09922 1.12868],2.0394755221177783
0.118,[0.87279 2.66146 1.12752 1.14958],2.165366486775712
0.118,[0.89147 2.68901 1.1023  1.12275],2.0334340640172797
0.118,[0.87434 2.52809 1.10307 1.11539],2.0928807903693545
0.118,[0.87893 2.76959 1.09446 1.13078],2.086086171290123
0.118,[0.87598 2.59985 1.10192 1.11953],2.0806984420618666
0.118,[0.87646 2.54635 1.11071 1.12124],2.0992557249087
0.118,[0.88094 2.7399  1.1033  1.13483],2.074672297950277
0.118,[0.88537 2.67139 1.11297 1.13173],2.062210678224088
0.118,[0.89407 2.74491 1.09812 1.12498],2.0394203182555573
0.118,[0.8715  2.86944 1.10419 1.16318],2.135058550199967
0.118,[0.87677 2.78658 1.09436 1.13417],2.0967124523828238
0.118,[0.88469 2.70592 1.09756 1.12186],2.0541857789803757
0.118,[0.89527 2.50619 1.10519 1.10376],2.0061143069022314
0.118,[0.88555 2.75292 1.10287 1.13424],2.0610043878582207
0.118,[0.89163 2.61358 1.11097 1.12011],2.031669083475703
0.118,[0.89536 2.53982 1.10984 1.10983],2.014432581066893
0.118,[0.87365 2.70433 1.11011 1.13982],2.11173075660245
0.118,[0.87799 2.60087 1.11171 1.12665],2.0902664505149016
0.118,[0.88418 2.84147 1.10028 1.14789],2.0802249712763197
0.118,[0.88203 2.82413 1.10445 1.14933],2.0858928136208754
0.118,[0.88949 2.67594 1.10069 1.12016],2.0360679080437936
0.118,[0.88416 2.78481 1.09887 1.13625],2.0698098028480327
0.118,[0.86369 2.8038  1.11554 1.16684],2.1866486493121475
0.118,[0.87685 2.67407 1.11837 1.14119],2.1134605134959843
0.118,[0.88682 2.76263 1.09137 1.12377],2.0637499724798225
0.118,[0.90537 2.49772 1.10364 1.09651],1.979036414620207
0.118,[0.85903 2.72338 1.11322 1.15357],2.208894106061209
0.118,[0.86839 2.60471 1.11509 1.13508],2.155674467975507
0.118,[0.88426 2.60145 1.10177 1.11576],2.043315643443175
0.118,[0.89608 2.64931 1.10136 1.11443],2.0164683038530145
0.118,[0.89139 2.78888 1.09223 1.12763],2.057634428830235
0.118,[0.86854 2.82719 1.11482 1.16743],2.160659523166259
0.118,[0.89894 2.63516 1.10639 1.11537],2.0093870136799574
0.118,[0.86768 2.84858 1.09757 1.15293],2.14401061921034
0.118,[0.89578 2.8162  1.09615 1.13443],2.0511805952836117
0.118,[0.89558 2.52295 1.09971 1.10143],1.9984681676955305
0.118,[0.88123 2.52712 1.1033  1.11192],2.056637914036523
0.118,[0.88317 2.65576 1.1024  1.12234],2.054049157587216
0.118,[0.89573 2.55482 1.11075 1.11168],2.015157651450311
0.118,[0.87138 2.71586 1.11947 1.15131],2.146930978947048
0.118,[0.90311 2.55436 1.10247 1.10193],1.988712995080452
0.118,[0.86668 2.59905 1.11915 1.13867],2.1810927094192
0.118,[0.88352 2.73558 1.11126 1.14   ],2.0735610971794878
0.118,[0.89215 2.77078 1.10103 1.13244],2.0468116013551256
0.118,[0.87409 2.7677  1.11101 1.14969],2.1173384248879796
0.118,[0.88992 2.69954 1.09179 1.11373],2.0452180313914523
0.118,[0.89295 2.81086 1.09839 1.13667],2.0534299732356964
0.118,[0.87112 2.52172 1.10637 1.11893],2.12219787508582
0.118,[0.89152 2.77896 1.09687 1.13037],2.0513281360246802
0.118,[0.85752 2.85759 1.10943 1.17426],2.2164238606438182
0.118,[0.87309 2.73929 1.09811 1.13161],2.1069637852120744
0.118,[0.87266 2.64727 1.11632 1.13858],2.130581804578581
0.118,[0.86075 2.61687 1.11601 1.14173],2.2114417146398866
0.118,[0.86248 2.59036 1.11714 1.13867],2.2058472033142995
0.118,[0.89619 2.63456 1.10887 1.11811],2.017605953771315
0.118,[0.86664 2.86746 1.1076  1.16903],2.162579701637307
0.118,[0.86879 2.84351 1.1117  1.16718],2.1552158169571456
0.118,[0.86916 2.75696 1.10247 1.14136],2.1292836427082897
0.118,[0.86948 2.74084 1.10057 1.13614],2.126320259708945
0.118,[0.89883 2.50532 1.10003 1.09838],1.989777343903075
0.118,[0.89149 2.7409  1.09829 1.12573],2.043526670883027
0.118,[0.88866 2.57226 1.10651 1.11428],2.032022788380239
0.118,[0.86702 2.80279 1.11481 1.1637 ],2.1656383990506822
0.118,[0.88762 2.79957 1.10062 1.13893],2.0629704849221704
0.118,[0.86365 2.78224 1.10662 1.15272],2.1673144680268663
0.118,[0.88825 2.72952 1.0904  1.11654],2.0573745573020568
0.118,[0.87695 2.54583 1.11159 1.1215 ],2.099108885516714
0.118,[0.88061 2.7848  1.09315 1.13145],2.0830858357853046
0.118,[0.87984 2.68616 1.10109 1.12635],2.0698387293405784
0.118,[0.86096 2.63109 1.11516 1.1424 ],2.2055434536219787
0.118,[0.89098 2.60244 1.10504 1.11494],2.024541682229235
0.118,[0.88404 2.7347  1.11142 1.1397 ],2.071708102002962
0.118,[0.8882  2.83946 1.09495 1.14099],2.0702540233495466
0.118,[0.88217 2.64063 1.11262 1.12948],2.072850337024414
0.118,[0.89607 2.70961 1.10256 1.12219],2.0268439083127117
0.118,[0.87951 2.55212 1.1014  1.11351],2.060709519995335
0.118,[0.86861 2.67957 1.11615 1.14495],2.153374013789048
0.118,[0.8783  2.62227 1.11996 1.13506],2.11108415106003
0.118,[0.89001 2.694   1.10368 1.12471],2.038737747900022
0.118,[0.87072 2.56442 1.10618 1.12267],2.1197081139030947
0.118,[0.86263 2.80699 1.11266 1.16479],2.1864989862072806
0.118,[0.86031 2.82467 1.10175 1.15529],2.1868174099654074
0.118,[0.87096 2.63084 1.11212 1.13405],2.1295156409523273
0.118,[0.893   2.80446 1.09721 1.13444],2.0529219767677254
0.118,[0.9013  2.60643 1.10445 1.10949],1.9998519555640841
0.118,[0.85569 2.81426 1.10666 1.16163],2.2229748956192736
0.118,[0.90239 2.52297 1.10666 1.10241],1.9897183188665175
0.118,[0.86309 2.88856 1.1109  1.17982],2.191141780132099
0.118,[0.87175 2.66539 1.10918 1.13493],2.1179982850459895
0.118,[0.86271 2.80994 1.10638 1.15783],2.1747223716534085
0.118,[0.89012 2.5393  1.09354 1.10087],2.010467984556393
0.118,[0.89297 2.72462 1.09628 1.12096],2.039442082773239
0.118,[0.88896 2.561   1.11287 1.1173 ],2.043899005507936
0.118,[0.85636 2.86905 1.10437 1.17067],2.216787450920557
0.118,[0.88919 2.58071 1.10241 1.11181],2.0248339326182565
0.118,[0.88365 2.80096 1.10099 1.14121],2.0745592416651104
0.118,[0.88848 2.5212  1.09403 1.1009 ],2.013211354368249
0.118,[0.88266 2.48533 1.09754 1.10404],2.0394767690218596
0.118,[0.88143 2.75097 1.0945  1.12722],2.0744344314900114
0.118,[0.88127 2.62012 1.11142 1.12668],2.073688405787832
0.118,[0.87611 2.63889 1.10485 1.12606],2.0860789303628744
0.118,[0.87808 2.86887 1.10191 1.15769],2.106326597641278
0.118,[0.85843 2.78441 1.11344 1.16408],2.2138452730487903
0.118,[0.86821 2.75901 1.1017  1.14094],2.1345082180027486
0.118,[0.87675 2.56371 1.11476 1.12559],2.107951955460283
0.118,[0.87278 2.60425 1.10753 1.12651],2.1084027853373004
0.118,[0.88993 2.68376 1.0942  1.11466],2.0386351715245774
0.118,[0.88603 2.52051 1.09592 1.10362],2.023416601490014
0.118,[0.86406 2.80833 1.10032 1.14892],2.1619156658368253
0.118,[0.88571 2.64938 1.10652 1.12367],2.0486699120037297
0.118,[0.86027 2.67239 1.11733 1.15104],2.210939604224485
0.118,[0.87595 2.75115 1.11135 1.14642],2.1073682076333053
0.118,[0.89222 2.49884 1.09425 1.09761],1.9998785977906524
0.118,[0.86583 2.66424 1.11018 1.13907],2.1559224857285906
0.118,[0.90207 2.69543 1.10026 1.11613],2.016650079029865
0.118,[0.87284 2.71701 1.10116 1.13276],2.104989302382389
0.118,[0.863   2.77974 1.11684 1.16433],2.1923104209664914
0.118,[0.8967  2.73633 1.10171 1.12564],2.031271727302864
0.118,[0.8674  2.65881 1.10726 1.13442],2.1403023545850752
0.118,[0.87563 2.63992 1.11904 1.13806],2.1220564276169696
0.118,[0.87396 2.76797 1.1187  1.15723],2.1347973011024695
0.118,[0.8763  2.52147 1.10263 1.11356],2.080968593544286
0.118,[0.88887 2.75203 1.09717 1.12746],2.0518359619190782
0.118,[0.87813 2.8074  1.09464 1.13809],2.0938172233982084
0.118,[0.85336 2.86831 1.10384 1.17072],2.237323640369303
0.118,[0.88287 2.65148 1.10372 1.12351],2.0558833657084175
0.118,[0.87039 2.71    1.10854 1.13983],2.1293604170788396
0.118,[0.87235 2.61505 1.1275  1.14344],2.1720213521831
0.118,[0.86053 2.60956 1.1161  1.14108],2.214541661304833
0.118,[0.89197 2.79676 1.0907  1.12724],2.0601415712876006
