αs,params,chi2/dof,ratios_list
0.11653,[ 2.3153  -0.94499 -0.18905],1.5941902254540867,"{'μS_ratio': 0.7030735198649436, 'μJ_ratio': 1.2231423395440464, 'νS_ratio': 1.134893471124658, 'νJ_ratio': 1.9397181877510075, 'μH_ratio': 0.7596753645387869, 'bmax_ratio': 0.9265815567760359}"
0.11592,[ 2.30025 -0.9016  -0.20222],1.6160831310720323,"{'μS_ratio': 0.9810789745095144, 'μJ_ratio': 0.7326841850490307, 'νS_ratio': 0.7130809238272388, 'νJ_ratio': 1.194059852210545, 'μH_ratio': 0.9964955881522015, 'bmax_ratio': 1.1064550895769378}"
0.11624,[ 2.29904 -0.88223 -0.17246],1.5863287538226842,"{'μS_ratio': 0.5894918027607882, 'μJ_ratio': 0.6914844155122862, 'νS_ratio': 0.5643214132870837, 'νJ_ratio': 0.8214640842602972, 'μH_ratio': 0.6446547809431744, 'bmax_ratio': 0.6890189069397856}"
0.1169,[ 2.30397 -0.89552 -0.15713],1.6006274682360915,"{'μS_ratio': 0.613740011890609, 'μJ_ratio': 0.8900014021478327, 'νS_ratio': 0.6075349256458518, 'νJ_ratio': 0.6154746695858974, 'μH_ratio': 1.2200571000447362, 'bmax_ratio': 1.369302599956708}"
0.11704,[ 2.29352 -0.87191 -0.19863],1.6012488935585318,"{'μS_ratio': 0.7058159069460817, 'μJ_ratio': 1.1564183346637513, 'νS_ratio': 0.5657736614275135, 'νJ_ratio': 1.0602585778293911, 'μH_ratio': 0.8200999096015954, 'bmax_ratio': 1.3250096300085519}"
0.11687,[ 2.30293 -0.89091 -0.15486],1.5956618896967683,"{'μS_ratio': 0.5991817426458182, 'μJ_ratio': 0.6872308128485854, 'νS_ratio': 1.0802606617499921, 'νJ_ratio': 0.6428676809742765, 'μH_ratio': 1.330540964261405, 'bmax_ratio': 0.7107400121847662}"
0.11686,[ 2.30499 -0.90069 -0.1622 ],1.5799465504875074,"{'μS_ratio': 0.5461453796406954, 'μJ_ratio': 1.0660584392672594, 'νS_ratio': 1.0724397865582582, 'νJ_ratio': 1.0266709970124244, 'μH_ratio': 0.6071159489550514, 'bmax_ratio': 0.9147015539661305}"
0.11716,[ 2.30084 -0.90724 -0.20846],1.6197365377982855,"{'μS_ratio': 1.8419520560615106, 'μJ_ratio': 1.2366342661270386, 'νS_ratio': 1.9852943680158084, 'νJ_ratio': 1.3765154147864087, 'μH_ratio': 1.3386927608189425, 'bmax_ratio': 1.2434606034629083}"
0.11574,[ 2.30041 -0.90243 -0.20279],1.620448848019948,"{'μS_ratio': 1.066346519004278, 'μJ_ratio': 0.6279481949904355, 'νS_ratio': 1.2421246209216776, 'νJ_ratio': 1.2582505987646655, 'μH_ratio': 1.2037662192952483, 'bmax_ratio': 0.9673280116319152}"
0.11717,[ 2.30218 -0.91754 -0.22434],1.615709672992788,"{'μS_ratio': 1.1221960065614156, 'μJ_ratio': 1.6903137112506224, 'νS_ratio': 1.372270135629571, 'νJ_ratio': 0.9938003715316486, 'μH_ratio': 1.472209261673805, 'bmax_ratio': 1.3632672284269958}"
0.11613,[ 2.33287 -1.03038 -0.24256],1.6036420836144871,"{'μS_ratio': 1.7654457447247007, 'μJ_ratio': 1.8509210803804792, 'νS_ratio': 1.0763430304899504, 'νJ_ratio': 1.8758945860708676, 'μH_ratio': 0.9291042230016113, 'bmax_ratio': 0.6985482619151214}"
0.11626,[ 2.28784 -0.86072 -0.22629],1.6039687889827512,"{'μS_ratio': 1.5840142671444455, 'μJ_ratio': 0.9097727765631205, 'νS_ratio': 1.3082587238183825, 'νJ_ratio': 1.5431662504367911, 'μH_ratio': 0.5918790208446923, 'bmax_ratio': 0.8703788707644591}"
0.11638,[ 2.32634 -0.99111 -0.22271],1.6129453062074652,"{'μS_ratio': 1.424984766659259, 'μJ_ratio': 1.4905150957146838, 'νS_ratio': 1.3369506482540208, 'νJ_ratio': 1.845393657783853, 'μH_ratio': 1.8389525238524371, 'bmax_ratio': 1.0811727180756368}"
0.11674,[ 2.31509 -0.94701 -0.18381],1.601715549090567,"{'μS_ratio': 0.7116015556326681, 'μJ_ratio': 1.4119605679512985, 'νS_ratio': 0.5538362125734998, 'νJ_ratio': 0.7384571267059765, 'μH_ratio': 1.063184774274934, 'bmax_ratio': 0.8038051524709706}"
0.1161,[ 2.30026 -0.90139 -0.2021 ],1.5895416834181002,"{'μS_ratio': 0.8113440929961618, 'μJ_ratio': 0.5480489686932486, 'νS_ratio': 0.7790505778523026, 'νJ_ratio': 0.6547581418546834, 'μH_ratio': 0.7977975780241822, 'bmax_ratio': 1.4277607782708233}"
0.11586,[ 2.29984 -0.89885 -0.20001],1.600661632592141,"{'μS_ratio': 0.8305184923529115, 'μJ_ratio': 0.7752627741908951, 'νS_ratio': 0.8021625878398221, 'νJ_ratio': 1.1432661990535318, 'μH_ratio': 0.6763853301181327, 'bmax_ratio': 0.6887682073827467}"
0.11736,[ 2.30149 -0.91041 -0.21484],1.619968367032118,"{'μS_ratio': 1.8741838732571443, 'μJ_ratio': 1.4257251324480946, 'νS_ratio': 1.6532417479918067, 'νJ_ratio': 1.0882063701640443, 'μH_ratio': 1.6633764306163612, 'bmax_ratio': 0.6796760166804072}"
0.11664,[ 2.30244 -0.89956 -0.17988],1.581826279831139,"{'μS_ratio': 0.6318415894726916, 'μJ_ratio': 1.0926248609233808, 'νS_ratio': 0.9018229896566488, 'νJ_ratio': 0.5342509396886174, 'μH_ratio': 0.6084209265103582, 'bmax_ratio': 1.4076298199511692}"
0.11711,[ 2.30923 -0.91077 -0.14494],1.6023229730719388,"{'μS_ratio': 0.5653009608551897, 'μJ_ratio': 1.0559845128320235, 'νS_ratio': 0.6739373802012524, 'νJ_ratio': 0.8740929645855317, 'μH_ratio': 1.6970198994985768, 'bmax_ratio': 0.7672337712203513}"
