αs,params,chi2/dof,ratios_list
0.11693,[ 2.07989 -0.93726 -0.13143],1.5899656279758985,"{'μS_ratio': 0.930526607092397, 'μJ_ratio': 1.0878894564600727, 'νS_ratio': 0.5159329106624592, 'νJ_ratio': 0.5613970086374988, 'μH_ratio': 0.9579673610866754, 'bmax_ratio': 0.7438878510963668}"
0.1169,[ 2.09545 -0.97982 -0.12624],1.600074306156747,"{'μS_ratio': 1.7671782117301669, 'μJ_ratio': 1.3180846694896657, 'νS_ratio': 1.2195458292870063, 'νJ_ratio': 1.603079564723236, 'μH_ratio': 1.7129600735631034, 'bmax_ratio': 0.8454582591114704}"
0.11666,[ 2.08055 -0.94073 -0.13333],1.583624178048279,"{'μS_ratio': 0.8669622063043599, 'μJ_ratio': 0.7873605818268569, 'νS_ratio': 1.3581433919934196, 'νJ_ratio': 0.9135707201050934, 'μH_ratio': 0.6909989309240123, 'bmax_ratio': 1.307488583432658}"
0.1167,[ 2.07545 -0.92752 -0.14297],1.587916905197665,"{'μS_ratio': 1.3058495800824246, 'μJ_ratio': 0.7663875331309457, 'νS_ratio': 1.3193537977319723, 'νJ_ratio': 1.8031381547299965, 'μH_ratio': 0.5240981356443415, 'bmax_ratio': 0.7441943719224059}"
0.11667,[ 2.07966 -0.93481 -0.12848],1.577408126508189,"{'μS_ratio': 0.5443936076271868, 'μJ_ratio': 0.6695324005646434, 'νS_ratio': 0.9717741963681248, 'νJ_ratio': 0.5346129883039804, 'μH_ratio': 0.5932003373825507, 'bmax_ratio': 1.1508137605408557}"
0.11687,[ 2.10339 -1.00368 -0.12286],1.5963860733643906,"{'μS_ratio': 1.559646585052296, 'μJ_ratio': 1.693481576102264, 'νS_ratio': 1.2718798508569904, 'νJ_ratio': 1.0195027529143574, 'μH_ratio': 0.9451330520925617, 'bmax_ratio': 0.7064520029844156}"
0.11688,[ 2.10511 -1.00764 -0.12298],1.5972117758238071,"{'μS_ratio': 1.2817903862556554, 'μJ_ratio': 1.7057190455902, 'νS_ratio': 1.6556320567447542, 'νJ_ratio': 1.961637572163794, 'μH_ratio': 0.8785113344722657, 'bmax_ratio': 0.7916371094217403}"
0.11692,[ 2.09334 -0.97292 -0.12172],1.5962911848390877,"{'μS_ratio': 0.9783729846467178, 'μJ_ratio': 1.4257053114912888, 'νS_ratio': 1.521847812677711, 'νJ_ratio': 1.1374819917845338, 'μH_ratio': 1.6988400119763392, 'bmax_ratio': 0.7190234401515138}"
0.1169,[ 2.09491 -0.97532 -0.12583],1.5952476069318016,"{'μS_ratio': 1.0631480997905915, 'μJ_ratio': 1.5065210416356094, 'νS_ratio': 0.5663519218949375, 'νJ_ratio': 0.8041332090337915, 'μH_ratio': 1.2679180993996066, 'bmax_ratio': 1.340664259628542}"
0.11685,[ 2.15062 -0.94741 -0.13411],1.5929427180604414,"{'μS_ratio': 1.1820948788942567, 'μJ_ratio': 1.1360440985748752, 'νS_ratio': 0.7118475447557643, 'νJ_ratio': 0.6404958266737624, 'μH_ratio': 1.9003644150725876, 'bmax_ratio': 0.8027953894378448}"
0.11693,[ 2.09641 -0.97852 -0.12489],1.600898829209519,"{'μS_ratio': 1.5018488320867345, 'μJ_ratio': 1.3717394718394524, 'νS_ratio': 1.3546587326001536, 'νJ_ratio': 1.8284829864147998, 'μH_ratio': 1.9185447863186524, 'bmax_ratio': 0.6717877042309938}"
0.11644,[ 2.0806  -0.94139 -0.13415],1.5728678617960452,"{'μS_ratio': 0.5303082651405076, 'μJ_ratio': 0.6688797933103873, 'νS_ratio': 0.9752399505988364, 'νJ_ratio': 1.3855648063988788, 'μH_ratio': 0.7591319009020515, 'bmax_ratio': 1.3993441498125323}"
0.1169,[ 2.1007  -0.99674 -0.12305],1.5954502356894478,"{'μS_ratio': 1.045446587074549, 'μJ_ratio': 1.9528038777185674, 'νS_ratio': 0.564323261139877, 'νJ_ratio': 0.6292983670566157, 'μH_ratio': 1.4412456522501607, 'bmax_ratio': 0.782436503072719}"
0.11693,[ 2.10168 -0.99787 -0.12137],1.5975726782897637,"{'μS_ratio': 1.0658392475354788, 'μJ_ratio': 1.7451884950832712, 'νS_ratio': 1.0643138603102413, 'νJ_ratio': 1.1751148064224994, 'μH_ratio': 1.9679457640443319, 'bmax_ratio': 1.3441149480803978}"
0.1166,[ 2.07983 -0.93679 -0.13096],1.58427793161671,"{'μS_ratio': 0.5609852522046278, 'μJ_ratio': 0.8756481551549161, 'νS_ratio': 0.5256686324196155, 'νJ_ratio': 0.747722378305546, 'μH_ratio': 0.5813481382478174, 'bmax_ratio': 0.6748488659334161}"
0.11678,[ 2.07483 -0.92401 -0.14006],1.5828692850944577,"{'μS_ratio': 1.0437309066343061, 'μJ_ratio': 0.7050935774959047, 'νS_ratio': 0.9506245565414426, 'νJ_ratio': 1.0475552499983372, 'μH_ratio': 1.3426326767369567, 'bmax_ratio': 1.020646140478132}"
0.11664,[ 2.07969 -0.93541 -0.12942],1.585627816968876,"{'μS_ratio': 0.5327266225167001, 'μJ_ratio': 0.9312394847550809, 'νS_ratio': 0.6954589661720555, 'νJ_ratio': 1.1155290649408955, 'μH_ratio': 0.6187992582442291, 'bmax_ratio': 1.3785627292856892}"
0.11675,[ 2.07904 -0.93685 -0.13649],1.591726346616221,"{'μS_ratio': 1.0882069272962078, 'μJ_ratio': 0.9222312541530795, 'νS_ratio': 0.8528682820962651, 'νJ_ratio': 1.3182896099821795, 'μH_ratio': 0.9569077599167817, 'bmax_ratio': 1.3456044599583508}"
0.11683,[ 2.18445 -0.94821 -0.137  ],1.5914627202692206,"{'μS_ratio': 1.0428231367271819, 'μJ_ratio': 1.355903286039889, 'νS_ratio': 0.5319219272888527, 'νJ_ratio': 0.5070671267784458, 'μH_ratio': 1.0639027783153685, 'bmax_ratio': 1.0137554759078253}"
