αs,params,chi2/dof
0.118,[0.86966 2.65626 1.11223],2.257652548825953
0.118,[0.8675  2.71397 1.13439],2.7505757323615083
0.118,[0.86522 2.73991 1.13356],2.4806295683441744
0.118,[0.86282 2.72822 1.13575],2.6112008202395143
0.118,[0.86447 2.73344 1.13997],2.2380277500555468
0.118,[0.86601 2.70423 1.12442],2.586984960827024
0.118,[0.86044 2.76265 1.14387],2.8909538788514024
0.118,[0.86536 2.70404 1.12805],2.5357764209393747
0.118,[0.85901 2.79373 1.15181],2.6896631094620593
0.118,[0.86224 2.75686 1.1425 ],2.8003256430565204
0.118,[0.86124 2.68077 1.12345],2.69061644442282
0.118,[0.86533 2.7088  1.12455],2.503592038140742
0.118,[0.86386 2.70468 1.1344 ],2.410955305380572
0.118,[0.86289 2.82593 1.1512 ],3.074597821979374
0.118,[0.86922 2.76343 1.13804],2.694897435392676
0.118,[0.86438 2.76606 1.14352],2.634947015596926
0.118,[0.8659  2.71503 1.11811],2.8332551807564412
0.118,[0.86962 2.69704 1.13176],2.6474435530444316
0.118,[0.8625  2.80723 1.15404],2.6902615906226046
0.118,[0.86237 2.79348 1.14531],2.6750263404383317
0.118,[0.86496 2.69129 1.13206],2.625905673309892
0.118,[0.86506 2.7411  1.13289],1.9631547680425732
0.118,[0.86568 2.74843 1.13757],2.018073986214456
0.118,[0.86763 2.69773 1.13513],2.323165694587524
0.118,[0.86572 2.75756 1.14267],2.222419445692237
0.118,[0.86315 2.75155 1.14483],2.5929859964357482
0.118,[0.86282 2.78227 1.1588 ],2.3565011982492825
0.118,[0.86392 2.79928 1.14364],2.6364241435963494
0.118,[0.86586 2.7069  1.1415 ],2.9703385456128197
0.118,[0.87084 2.7129  1.12333],2.672531541899469
0.118,[0.86803 2.70787 1.14191],2.6344093241756994
0.118,[0.86129 2.76421 1.14882],2.439430694071779
0.118,[0.86228 2.69733 1.13356],2.7913147656706236
0.118,[0.86826 2.74466 1.14411],2.735679365899362
0.118,[0.86522 2.73626 1.13247],2.453025565903791
0.118,[0.86539 2.71947 1.12876],1.931128978501572
0.118,[0.8618  2.77482 1.14518],2.835581231841562
0.118,[0.86379 2.74681 1.14242],3.094192742025183
0.118,[0.86601 2.6958  1.12447],2.905470880513724
