αs,params,chi2/dof
0.118,[0.86235 2.84218 1.13053],1.5987354189808016
0.118,[0.86676 2.52601 1.13385],1.5178945244202262
0.118,[0.87326 2.57079 1.13965],1.551669255055675
0.118,[0.86513 2.51894 1.13239],1.5104409015016635
0.118,[0.87385 2.58936 1.14044],1.5587149816107924
0.118,[0.87432 2.60726 1.14103],1.5652507012968255
0.118,[0.86598 2.82606 1.13318],1.6049575061416694
0.118,[0.86303 2.50717 1.13034],1.4999259614374434
0.118,[0.86602 2.56047 1.13459],1.5248910818038905
0.118,[0.85544 2.86095 1.12629],1.5809353887430706
0.118,[0.87139 2.80245 1.13705],1.6142951849709493
0.118,[0.87405 2.53226 1.13905],1.5437368106753138
0.118,[0.85884 2.81232 1.13021],1.5759717776083486
0.118,[0.85556 2.82368 1.12836],1.566997764731799
0.118,[0.86309 2.63728 1.13453],1.5365096737271706
0.118,[0.8569  2.79777 1.12995],1.563301354282584
0.118,[0.86868 2.8724  1.1319 ],1.6303220372028702
0.118,[0.86795 2.70567 1.13757],1.5728641861551773
0.118,[0.85656 2.84337 1.12774],1.5786070139962127
0.118,[0.86607 2.8727  1.13058],1.6221081443766654
0.118,[0.86247 2.76875 1.13346],1.5741544816356394
0.118,[0.86797 2.89176 1.13019],1.63549356899253
0.118,[0.87627 2.6691  1.14274],1.5890077054739982
0.118,[0.87609 2.67897 1.14245],1.5913361004428472
0.118,[0.85539 2.84228 1.12735],1.5734132949508213
0.118,[0.8759  2.66353 1.14237],1.5862765827695233
0.118,[0.86199 2.56962 1.13225],1.5133474556033233
0.118,[0.86007 2.76776 1.13227],1.5653986548326622
0.118,[0.87118 2.653   1.13957],1.5679674259430396
0.118,[0.85525 2.84738 1.12701],1.5747813068295626
0.118,[0.86294 2.51768 1.13078],1.5024435926030064
0.118,[0.86024 2.8019  1.1313 ],1.5774074004736984
0.118,[0.85776 2.773   1.13108],1.558293797890877
0.118,[0.85907 2.73056 1.13251],1.5496587813197096
0.118,[0.87028 2.66138 1.13906],1.5674439786602632
0.118,[0.8674  2.77509 1.13591],1.5925392153112417
0.118,[0.86194 2.88041 1.12803],1.6116421768391433
0.118,[0.85739 2.77108 1.131  ],1.5560699538088583
0.118,[0.87381 2.68634 1.14109],1.586126206606393
0.118,[0.8577  2.79332 1.13042],1.5650068403180177
0.118,[0.86358 2.75391 1.1344 ],1.5731787742487493
