αs,params,chi2/dof,ratios_list
0.11836,[ 3.4677  -0.42845 -0.25661],1.6532062879279343,"{'μS_ratio': 0.7787234701359167, 'μJ_ratio': 1.1157393720302724, 'νS_ratio': 0.9151349176917265, 'νJ_ratio': 0.9557389139999217, 'μH_ratio': 1.8592442701772023, 'bmax_ratio': 1.323450214755629}"
0.11711,[ 3.75314 -1.06857 -0.05567],1.4898482382353115,"{'μS_ratio': 1.7333838613547456, 'μJ_ratio': 1.7353739081274364, 'νS_ratio': 1.686042217922497, 'νJ_ratio': 1.7423228570097882, 'μH_ratio': 0.8941192668932786, 'bmax_ratio': 1.4707357054188506}"
0.11846,[ 3.40335 -0.2945  -0.29989],1.6766290007532973,"{'μS_ratio': 0.7197164638937481, 'μJ_ratio': 0.7794312197152878, 'νS_ratio': 0.633042189802778, 'νJ_ratio': 0.7207777142038579, 'μH_ratio': 0.6297765297760568, 'bmax_ratio': 1.1065418433115073}"
0.11746,[ 3.59486 -0.87448 -0.11585],1.5344356383769484,"{'μS_ratio': 1.1797705043468696, 'μJ_ratio': 1.3770434853946987, 'νS_ratio': 1.5630925564981013, 'νJ_ratio': 1.7338607394758618, 'μH_ratio': 0.7506975065473211, 'bmax_ratio': 1.4660927734160571}"
0.11816,[ 3.26692 -0.14138 -0.36701],1.7978133081424892,"{'μS_ratio': 0.603434754572047, 'μJ_ratio': 1.0352752537009688, 'νS_ratio': 0.7719130801438687, 'νJ_ratio': 0.7878387580223272, 'μH_ratio': 0.6775903856444099, 'bmax_ratio': 0.7695379524751507}"
0.11932,[ 3.38565 -0.21245 -0.29529],1.61174108994359,"{'μS_ratio': 0.7373415814471664, 'μJ_ratio': 0.5004330467367266, 'νS_ratio': 0.8460503731735984, 'νJ_ratio': 1.5171548132703645, 'μH_ratio': 0.5567361559813763, 'bmax_ratio': 1.3150805138938553}"
0.1187,[ 3.35251 -0.20029 -0.31801],1.7166616400932766,"{'μS_ratio': 0.6832333681763323, 'μJ_ratio': 0.9400609122424615, 'νS_ratio': 0.5248088441788037, 'νJ_ratio': 0.7535236216691868, 'μH_ratio': 1.660416451580695, 'bmax_ratio': 0.7355885123108532}"
0.1177,[ 3.59837 -0.87444 -0.09788],1.5173502796447675,"{'μS_ratio': 1.2914550597881402, 'μJ_ratio': 1.110461941858957, 'νS_ratio': 1.4014220291100048, 'νJ_ratio': 1.5499497771204869, 'μH_ratio': 1.4770535264299505, 'bmax_ratio': 1.0177365511224723}"
0.11767,[ 3.63604 -0.91508 -0.10503],1.5302093694090662,"{'μS_ratio': 1.2027175829477232, 'μJ_ratio': 1.9305187900664555, 'νS_ratio': 1.1447446035259694, 'νJ_ratio': 1.3393134557296875, 'μH_ratio': 1.0088719398691899, 'bmax_ratio': 0.8354851977256489}"
0.11838,[ 3.53069 -0.6739  -0.18459],1.5692261814281394,"{'μS_ratio': 0.9968896023700975, 'μJ_ratio': 1.943970630890413, 'νS_ratio': 1.4434937660442895, 'νJ_ratio': 0.8833687617830113, 'μH_ratio': 1.2186599307288044, 'bmax_ratio': 1.0814032297931577}"
0.11843,[ 3.3073  -0.16279 -0.34466],1.7782963169145825,"{'μS_ratio': 0.6312692454965649, 'μJ_ratio': 1.1738162560109213, 'νS_ratio': 0.9312181775444021, 'νJ_ratio': 1.1627972224771503, 'μH_ratio': 1.6989526478779593, 'bmax_ratio': 1.215695315405624}"
0.1196,[ 3.5259  -0.64229 -0.15756],1.576570306643583,"{'μS_ratio': 1.043882289974135, 'μJ_ratio': 1.9007471695053457, 'νS_ratio': 1.6588307947185559, 'νJ_ratio': 1.6658661751946726, 'μH_ratio': 1.284525621970036, 'bmax_ratio': 0.701792708486191}"
0.11759,[ 3.58992 -0.87149 -0.10203],1.500708220943556,"{'μS_ratio': 1.3582252439541054, 'μJ_ratio': 0.8653582129524159, 'νS_ratio': 1.225286093995031, 'νJ_ratio': 1.25044110455939, 'μH_ratio': 0.9143267447247726, 'bmax_ratio': 1.2506197771301846}"
0.11791,[ 3.56962 -0.80046 -0.12188],1.5333511073784385,"{'μS_ratio': 1.1402053067993447, 'μJ_ratio': 1.0521744589926372, 'νS_ratio': 0.7706436565681276, 'νJ_ratio': 0.9545926439607149, 'μH_ratio': 1.4038768374263704, 'bmax_ratio': 1.2006058331225855}"
