αs,params,chi2/dof
0.118,[0.833   2.75614 1.18921 1.39322],2.1120705306652847
0.118,[0.83673 2.80555 1.191   1.30216],2.2018724695545626
0.118,[0.83641 2.7683  1.19864 1.36893],1.9652902893800348
0.118,[0.83266 2.79351 1.1884  1.3697 ],2.2824408148563555
0.118,[0.8281  2.75003 1.19667 1.4747 ],2.5204265616021684
0.118,[0.83778 2.69495 1.17387 1.39911],2.1735524219338873
0.118,[0.84533 2.7155  1.17029 1.30791],1.9730503528104795
0.118,[0.82661 2.82888 1.21667 1.42415],2.2497164725390166
0.118,[0.83439 2.84553 1.20009 1.35121],2.2813844276002224
0.118,[0.84222 2.75398 1.17127 1.31841],2.6140833494552
0.118,[0.8378  2.74992 1.19842 1.3542 ],2.2076136683301244
0.118,[0.83145 2.76262 1.18164 1.40645],2.29679177414068
0.118,[0.84484 2.71664 1.15839 1.21269],2.391236111747045
0.118,[0.83383 2.82386 1.20605 1.38656],2.493506381474224
0.118,[0.83283 2.79527 1.18882 1.39778],2.2112557376360593
0.118,[0.83601 2.73701 1.19177 1.36132],2.2576604859105376
0.118,[0.83545 2.80257 1.19866 1.37969],2.444422334293663
0.118,[0.8264  2.82219 1.21058 1.43898],2.054555448170915
0.118,[0.83174 2.73464 1.18763 1.3768 ],2.0482574760617966
0.118,[0.83429 2.81151 1.18865 1.36537],1.980667315601703
0.118,[0.83989 2.81254 1.17465 1.33178],2.2250524732224894
0.118,[0.83938 2.75323 1.17938 1.3293 ],2.0470949975558073
0.118,[0.8378  2.79676 1.18756 1.37819],1.9938722264325617
0.118,[0.83303 2.79284 1.19027 1.39264],2.173475448715732
0.118,[0.83755 2.79582 1.18185 1.30351],2.127949711243279
0.118,[0.83773 2.72961 1.19216 1.33905],2.227603698644211
0.118,[0.83356 2.67164 1.17079 1.42523],1.9274789929306075
0.118,[0.8303  2.73013 1.17944 1.41923],1.6598882658702367
0.118,[0.83071 2.82614 1.20465 1.34699],1.9527656659573165
0.118,[0.83715 2.78188 1.19223 1.38832],2.111903266430158
0.118,[0.83086 2.80565 1.19526 1.3815 ],2.000844258433674
0.118,[0.82124 2.72668 1.19634 1.51568],2.239912357775371
0.118,[0.83061 2.84119 1.19813 1.33871],2.1493469435433097
0.118,[0.84427 2.72929 1.1781  1.30383],2.2559740347280868
0.118,[0.8481  2.70813 1.15836 1.29203],2.682497298128719
0.118,[0.84233 2.7417  1.17933 1.32284],2.2492673195789985
0.118,[0.83518 2.88707 1.20662 1.342  ],2.4999735230655213
0.118,[0.84638 2.69929 1.16592 1.25669],2.1870347766801923
0.118,[0.8304  2.87453 1.21482 1.36937],2.190423468255669
0.118,[0.83216 2.73812 1.19987 1.38806],2.5149448456147536
0.118,[0.83573 2.74131 1.17069 1.3823 ],2.417927575912242
0.118,[0.8316  2.85433 1.20556 1.38016],2.1523588039886463
0.118,[0.82926 2.77777 1.20559 1.43852],2.214793081075116
0.118,[0.83636 2.76777 1.19193 1.34855],2.1766677657369446
0.118,[0.83673 2.81872 1.20259 1.35858],2.004032206323479
0.118,[0.83402 2.72985 1.18798 1.42766],2.0525443255048534
0.118,[0.82857 2.7688  1.19015 1.43035],2.125320808004084
0.118,[0.8377  2.67399 1.18314 1.36975],2.4408073950428877
0.118,[0.82286 2.77499 1.20921 1.48009],2.1249128740108207
0.118,[0.82864 2.72448 1.19047 1.42999],2.2620708762203434
0.118,[0.83126 2.78963 1.20072 1.39813],2.2954153015262215
0.118,[0.83803 2.74324 1.17692 1.38081],2.27738848725092
0.118,[0.83098 2.74147 1.20793 1.48869],2.166849323708713
0.118,[0.83543 2.732   1.17377 1.37671],2.1818346917670284
0.118,[0.8423  2.76291 1.18578 1.32105],2.114985570632444
0.118,[0.84208 2.73784 1.16754 1.3214 ],2.242597485007397
0.118,[0.84257 2.75236 1.15831 1.2731 ],1.9024851744680065
0.118,[0.82841 2.83864 1.21599 1.44039],2.0271621588285273
0.118,[0.84295 2.78917 1.19761 1.3451 ],1.9097140647387074
0.118,[0.84    2.79983 1.18408 1.30948],2.4024823251311003
0.118,[0.8374  2.80246 1.20078 1.36119],2.2187939265059065
0.118,[0.83025 2.73077 1.1793  1.43514],2.1009488973447406
0.118,[0.82727 2.85779 1.21742 1.43647],2.188013905364635
0.118,[0.83591 2.78729 1.20451 1.34779],1.719183648910419
0.118,[0.83903 2.77036 1.18504 1.27928],2.2017429092933374
0.118,[0.832   2.7629  1.20359 1.46057],2.0837876859275566
0.118,[0.83035 2.77942 1.2003  1.42045],1.901902943969635
0.118,[0.8421  2.8035  1.19693 1.32108],2.328439895083546
0.118,[0.83151 2.88203 1.20229 1.31503],1.94641030295043
0.118,[0.83905 2.76937 1.19666 1.36996],2.416920783339802
0.118,[0.83528 2.80429 1.18321 1.36184],2.1526584979862236
0.118,[0.83258 2.76495 1.20498 1.41231],2.0508362374693614
0.118,[0.82551 2.80422 1.20797 1.4159 ],2.2227970941816766
0.118,[0.84053 2.78553 1.19293 1.24529],2.2606409070203286
0.118,[0.82945 2.8109  1.20556 1.39931],2.1791403777140466
0.118,[0.83505 2.73274 1.19099 1.40916],2.136163523690487
0.118,[0.84278 2.68006 1.17325 1.33191],2.3293497824999867
0.118,[0.83878 2.74544 1.16646 1.30963],2.451489320244151
0.118,[0.83115 2.71274 1.19003 1.40241],2.1786705958383954
0.118,[0.83249 2.80567 1.20447 1.40573],2.3217722453760747
0.118,[0.83694 2.76886 1.19726 1.36934],2.3159114231103737
0.118,[0.82618 2.81135 1.202   1.45568],2.1529295899995082
0.118,[0.83399 2.80456 1.19184 1.33419],1.9869082372535678
0.118,[0.83488 2.82999 1.20355 1.38816],2.378440396466455
0.118,[0.83656 2.80574 1.20426 1.38007],1.520290996296796
0.118,[0.83382 2.70394 1.18859 1.45022],1.9943773869429617
0.118,[0.83472 2.8104  1.19965 1.32966],2.205169290501784
0.118,[0.83174 2.76081 1.18375 1.42439],1.9939927628646916
0.118,[0.8302  2.73166 1.19899 1.45913],1.9473470803510542
0.118,[0.8239  2.85799 1.22279 1.45583],1.8105447021978862
0.118,[0.83232 2.81162 1.19749 1.34588],2.0900694012829684
0.118,[0.84117 2.71153 1.18361 1.38019],2.095314090400343
0.118,[0.83277 2.74416 1.20434 1.42232],2.4156086835273327
0.118,[0.83819 2.76919 1.18233 1.33678],2.0213302293735564
0.118,[0.84424 2.76787 1.18258 1.26453],2.3139619607018993
